dataset,alpha,method,round,mean_percent,sample_sd_percent,n_seeds
pathmnist,0.5,fedsa,105,68.0230598764796,6.348185057935412,3
pathmnist,0.5,fedsa,120,66.5928413156478,12.858867149001659,3
pathmnist,0.5,fedsa,135,64.13430596104645,8.662229229306362,3
pathmnist,0.5,fedsa,150,67.16270171009815,4.772663345795256,3
pathmnist,0.5,fedsa,165,67.78995192753966,8.187435037030088,3
pathmnist,0.5,fedsa,180,65.23966966659394,8.827984489233684,3
pathmnist,0.5,fedsa,195,77.28231528356679,6.624776381690586,3
pathmnist,0.5,fedsa,210,76.83778997252985,7.541916139369747,3
pathmnist,0.5,fedsa,225,75.45334531084112,8.623463247287868,3
pathmnist,0.5,fedsa,240,77.11944230390691,6.6827618544473575,3
pathmnist,0.5,fedsa,255,76.23080176793151,8.287717227926153,3
pathmnist,0.5,fedsa,270,76.3820257179397,8.181205874127382,3
pathmnist,0.5,fedsa,285,76.18720282131264,7.809920161191063,3
pathmnist,0.5,fedsa,300,76.87429767354182,6.852590044309961,3
pathmnist,0.5,cwfedavg,1,19.81555229796882,1.8406228021935291,3
pathmnist,0.5,cwfedavg,15,44.826400572296386,7.599379338603617,3
pathmnist,0.5,cwfedavg,30,51.3125505868144,9.094178298070405,3
pathmnist,0.5,cwfedavg,45,53.02810421939669,6.071475231352872,3
pathmnist,0.5,cwfedavg,60,55.23786114374973,7.900514587728419,3
pathmnist,0.5,cwfedavg,75,56.019832142441295,8.212632676332385,3
pathmnist,0.5,cwfedavg,90,57.3813350250611,10.451273483470972,3
pathmnist,0.5,cwfedavg,105,54.87542857681074,8.97053521593623,3
pathmnist,0.5,cwfedavg,120,52.885665143326044,8.700104671920672,3
pathmnist,0.5,cwfedavg,135,61.20966386825576,9.579002943069046,3
pathmnist,0.5,cwfedavg,150,62.895141172448426,10.098396738742546,3
pathmnist,0.5,cwfedavg,165,62.9704762333743,7.661208941581255,3
pathmnist,0.5,cwfedavg,180,62.47031173519978,6.995372514803259,3
pathmnist,0.5,cwfedavg,195,63.46868473974131,8.554245417070963,3
pathmnist,0.5,cwfedavg,210,63.746906470599896,9.312793235134995,3
pathmnist,0.5,cwfedavg,225,65.9910639668403,12.639387057306104,3
pathmnist,0.5,cwfedavg,240,63.5980133444352,9.542761334995214,3
pathmnist,0.5,cwfedavg,255,61.278769331719566,8.162988745739147,3
pathmnist,0.5,cwfedavg,270,65.34698710236358,17.01228714036781,3
pathmnist,0.5,cwfedavg,285,68.04267863768438,19.07977867689518,3
pathmnist,0.5,cwfedavg,300,66.67464847562516,22.268577393818383,3
pathmnist,0.5,cwt,1,29.852330720121355,14.439978747033626,3
pathmnist,0.5,cwt,15,62.76696580331768,3.180821448406264,3
pathmnist,0.5,cwt,30,67.77761296159343,12.298519664282395,3
pathmnist,0.5,cwt,45,65.52364326332233,12.625510706710736,3
pathmnist,0.5,cwt,60,68.25878126334928,12.382855616491364,3
pathmnist,0.5,cwt,75,64.63198561518706,12.956547009122357,3
pathmnist,0.5,cwt,90,69.30680383211283,5.202522482908703,3
pathmnist,0.5,cwt,105,76.03438145471007,6.4127057520665876,3
